ResultsVersion,ResultsDate,Company,Location,Position,PostingDate,FullDetailsURL,AllQualifications,Applicants,Employment type,Industries,Job function,Seniority level
1,10/08/2021 14h,Tripadvisor,"Lisboa, Lisbon, Portugal",Senior Data Scientist,2021-08-04,https://linkedin.com/jobs/view/senior-data-scientist-at-tripadvisor-2669577818,"['Owns the algorithms exposed on the website and which maximize business objectives ', 'Balances time between long-term projects and real-time firefighting ', 'Collaborates with…', 'Machine learning to improve the user experience ', 'Product to support additional features on the site ', 'Analytics to investigate trends and identify opportunities ', 'Supply to make sure we are operating an efficient marketplace ', 'Traffic to efficiently increase revenue across all channels ', 'Provides weekly and monthly management-level reports, synthesized from numerous sources, focused on measurable impacts. ', 'Focus primarily on our sort and recommendation algorithms ', 'Build solutions to solve quickly concrete business challenges (1 to 3 weeks projects) ', 'Be creative and efficient in the modeling approach (find the simple logic that solves most of the problem) ', 'Interact with many teams to support stakeholders’ projects but also owning your own initiatives ', 'Lead data science projects from concept to implementation: data exploration, modeling, productizing & coordinate work for deployment and integration ', 'Lead the achievement of one or more of the team’s most important objectives ', 'Improve the team’s models and processes ', 'Provide stewardship and act as team expert for several of the team’s most important models, pipelines and areas of expertise. ', 'Strong communication skills: Form strong relationships with partners across the business to get things done ', 'Work with other teams to review project specifications and schedule project work ', 'Work with other teams to develop new, or enhance existing, products and opportunities ', 'An interest to leverage data more to improve YoY revenue than to build the perfect model ', 'Willingness to have direct and visible impact on the business ', 'Preference for MVP + Iteration ', '2+ years’ in an analytical role ', 'Master’s degree in quantitative field ', 'Expert in SQL; Python a plus ', 'Excellent problem-solving and analytical skills ', 'Ability to communicate effectively with audiences of various background, level and function']",Be among the first 25 applicants,Full-time,"Computer Software, Internet, and Leisure, Travel & Tourism","Analyst, Information Technology, and Engineering",Mid-Senior level
1,10/08/2021 14h,Wyser,"Lisbon, Lisbon, Portugal",Junior Data Scientist – Scoring Centre (M/F),2021-08-03,https://linkedin.com/jobs/view/junior-data-scientist-%E2%80%93-scoring-centre-m-f-at-wyser-2673207703,"['As part of your modelling projects, you assess the needs expressed, define and propose the adapted deliverables and estimate their burden and time-frame through an implementation plan that takes into account the challenges and constraints. You use statistical modelling methods, analyse and explain the results;', 'You lead the project, keep track of the schedule and support the implementation and monitoring of the tools issued;', 'As part of the monitoring and optimization of the BNP Paribas Personal Finance score models, you participate in the monitoring campaigns of the scores: generation and analysis of monitoring results, diagnosis and action plan;', ""You are also responsible for conducting or analysing statistical studies related to risk prediction models. If necessary, you take part in analytical support missions to the Group's international entities and in the processing of audit recommendations relating to the Basel regulatory project;"", ""In addition, you actively contribute to the transversal missions of the Scoring Centre: technological and methodological watch, regulatory watch, training, analytical support for the Group's international entities."", 'You have a Degree in Mathematics or Statistics.', 'You have a strong scientific background and 2 years of experience in a statistical/risk environment (preferably in a banking environment)?', 'Have SAS and SAS Base experience.', 'You are proficient in modelling environment or data lab and you have a strong knowledge of the main data science libraries and have already experienced machine models industrialization.', 'You are able to work on several projects in parallel and are acknowledged for your accuracy;', 'Do you speak English?']",Be among the first 25 applicants,Full-time,"Staffing and Recruiting, Banking, and Financial Services",Engineering and Information Technology,Entry level
1,10/08/2021 14h,everis,"Lisbon, Portugal",Data Scientist,2021-08-05,https://linkedin.com/jobs/view/data-scientist-at-everis-2671302045,"['Habilitações académicas mínimas ao nível da Licenciatura em Engenharia Informática, Matemática, Física ou similar', 'Experiência em tecnologias de referência na área de Data Science como Python, R e Julia', 'Conhecimentos de Inglês e espanhol', 'Conhecimento das principais frameworks e best practices de Data Science', 'Boas capacidades de comunicação perante diversos interlocutores e à vontade em reuniões técnicas', 'Gosto pela evolução contínua, auto-estudo e capacidades motivacionais para o tema junto dos que o rodeiam', '', 'Conhecimentos de Inglês e espanhol', 'Facilidade em adquirir novas competências técnicas', 'Capacidade de adaptação a diferentes contextos', 'Perseverança e gosto pela resolução de problemas']",Be among the first 25 applicants,Full-time,Information Technology and Services,"Consulting, Information Technology, and Sales",Mid-Senior level
1,10/08/2021 14h,PandaDoc,"Lisbon, Lisbon, Portugal",Senior Data Scientist (Lisbon),2021-07-22,https://linkedin.com/jobs/view/senior-data-scientist-lisbon-at-pandadoc-2651945764,"['Lead, architect, and develop multiple projects.', 'Implement projects into business processes.', 'Partner with key stakeholders in Marketing, Sales, Customer Success, and Product organizations.', 'Generate new ideas for the business and be able to switch them into projects.', 'Inspire and lead junior data scientists.', '3+ years of experience working within the fast-paced and complex business setting in the data science area.', 'Must have strong SQL and Python skills also have a strong foundation in data structures, algorithms, statistics, and machine learning.', 'The candidate will also have had experience working with cleaning, manipulating, and visualizing data.', 'Required to have exceptional communication skills and capable of tailoring complex messages into simplified and business applicable material for key stakeholders.', 'Ability to communicate effectively in English, both orally and in writing.', 'An honest, open culture that emphasizes feedback and promotes professional and personal development', 'An opportunity to work from anywhere — our team is distributed worldwide, from Minsk to Manila, from Florida to California', 'An annual personal budget for educational classes, conferences, etc. — anything to further your professional knowledge', 'A competitive salary.', 'Medical insurance', '22 paid vacation days + 5 sick days + 1 holiday day for your birthday', 'Home Office Allowance 2021 - to be used for improvements in your home office set up', 'Mental Health Allowance 2021 - to be used for Counseling Psychology, Coaching and/or Meditation type Apps', 'Education Allowance - to be used to improve skills and knowledge associated with your work']",Be among the first 25 applicants,Full-time,"Information Technology and Services, Computer Software, and Internet",Engineering and Information Technology,Associate
1,10/08/2021 14h,NOS SGPS,"Lisbon, Portugal",Data Scientist - Lisboa ou Porto,2021-07-27,https://linkedin.com/jobs/view/data-scientist-lisboa-ou-porto-at-nos-sgps-2663557605,"['Work in Agile sprints leading a Data Product development squad to deliver AI/ML enabled Data products;', 'Partnership with the Product Owner and other business stakeholders establishing a vision and roadmap to deliver competitive business edge through looking out industry trends and leveraging applied state-of-the-art ML/AI field;', 'Design architectural blueprints for end-to-end software solutions, from data to service layer;', 'Establish and evangelize best software engineering practices in our Data Science (DS) Products;', 'Flesh out the various components of the solution that has to be delivered by the development team – Data Science and Data Engineers – such as epics, stories and tasks;', 'Improve quality by identifying and eliminating issues and common anti-patterns by active code-review and training of the dev team;', 'Write reusable and testable code using the best tools for the job and participate in code reviews;', 'Making sure that products can be deployable within NOS technological infrastructure using CI/CD pipelines (GitLab, Jenkins);', '', 'MsC or PhD in a quantitative discipline;', 'Strong coding skills and Computer Science fundamentals;', 'Relevant experience in building large scalable and maintainable applications in python to solve business challenges;', 'Experience with machine learning frameworks (eg: scikit Learn, Spark ML Lib, etc)', 'Good communication skills to liaise with interface teams such as business stakeholders, operational teams, IT and Network;', 'Experience working with databases;', 'Curious about Data: you are able to fix it, digest it and communicate your findings;', 'Flexible to adapt in highly dynamic environments']",Be among the first 25 applicants,Full-time,Telecommunications and Information Technology and Services,"Engineering, Information Technology, and Analyst",Associate
1,10/08/2021 14h,"VASP - Distribuidora de Publicações, S.A.","Sintra, Lisbon, Portugal",Data Scientist Junior (SQL+R),2021-07-13,https://linkedin.com/jobs/view/data-scientist-junior-sql%2Br-at-vasp-distribuidora-de-publica%C3%A7%C3%B5es-s-a-2642317385,"['Licenciado em áreas com forte componente analítica (Matemática, Matemática Aplicada ou Estatística)', 'Sólidos conhecimentos de estatística', 'Bons conhecimentos de SQL\xa0e R/Python', 'Bons conhecimentos e interesse por machine learning, sobretudo modelos de regressão com dados temporais', 'Experiência na construção e manutenção\xa0de modelos preditivos(R ou python)', 'Pensamento analítico, espírito crítico e pró-atividade', 'Conhecimentos de power BI e Azure ML serão fatores diferenciadores.', 'Análise de dados de negócio e apresentação de resultados', 'Desenvolvimento e manutenção de modelos preditivos', 'Automação de processos']",25 applicants,Full-time,,,
1,10/08/2021 14h,JLL,"Lisbon, Portugal",Data Manager/Data Scientist (M/F),2021-07-20,https://linkedin.com/jobs/view/data-manager-data-scientist-m-f-at-jll-2606108713,"['Execute tasks within the full lifecycle on maintenance and evolution of the Data & Information architecture landscape within the company;', 'Acquire data from primary or secondary data sources and maintain databases/data systems;', 'Identify, analyze, and interpret trends or patterns in complex data sets. Filter and “clean” data by reviewing reports and performance indicators to locate and correct data source problems;', ""Identify opportunities for data improvement: whether there's a data point missing, queries that are running slowly, or metrics that don't look quite right, and share new ideas/suggestions;"", 'Support the design, implement and support data warehousing projects, implements business rules via stored procedures, middleware or other technologies and defines user interfaces;', 'Verify the accuracy of data and maintain and support the data warehouse activities;', 'Support, plan and conduct data warehouse unit system tests, monitors and takes corrective action as needed;', 'Support the build and maintain data warehouse databases, designs, codes, tests and implements complex programs, and scripts;', 'Build key data sets to empower operational and exploratory analysis. Monitoring key metrics, understanding root causes of changes in metrics;', 'Identify and analyze potential data sources which will improve the consistency, timeliness and/or completeness of our data sets.', 'At least 5 years of experience with demonstrable exposure and knowledge in the following areas Data Management, Data Integration, Data Warehousing and Data Analytics subject areas;', 'Experience working in Investment Banking / Finance / Insurance / Services Industry / Real Estate Industry Preferred;', 'Strong expertise in assisting in delivering well-organized reports, dashboards, data analysis, and statistical models - Devise key metrics with clients and leverage knowledge of data preparation activities such as extraction, cleansing, aggregation, and data analysis to deliver on internal/client requirements;', 'Superb written and verbal skills, ability to communicate technical and non-technical aspects;', ""Bachelor’s degree in Data Science, Management or Mathematic's. Advanced degree preferred."", 'Experienced on development and maintenance of relational databases. Exposure to Microsoft SQL Server / Azure SQL is a plus;', 'Experienced on implementation and maintenance of ETL processes. Exposure to Microsoft SQL Server Integration Services / Azure Data Factory is a plus;', 'Proficiency working with Microsoft Office, including Excel and Power BI;', 'Knowledge and practical expertise on developing and rolling out solutions using the following languages: C#, JSON, XML, R e Phyton;', 'Strong expertise with a quantitative aptitude and ability to perform market analysis.']",Be among the first 25 applicants,Full-time,Real Estate,Engineering and Information Technology,Mid-Senior level
1,10/08/2021 14h,Feedzai,"Lisbon, Lisbon, Portugal",Data Scientist,2021-08-05,https://linkedin.com/jobs/view/data-scientist-at-feedzai-2546131705,"['Understanding the data which our clients provide to us;', 'Cleaning that data and validating that it is correct;', 'Preprocessing the data, usually by using a mixture of shell scripts and a programming language such as Python, Java, Scala, etc', 'Iteratively computing features and tuning parameters to improve the quality of the model;', 'Communicating your findings to the project manager and assisting him/her in decision making on the Data Science part of the project;', 'Work together with key stakeholders (data scientists, engineers, risk managers) from our clients;', 'Work with other parts of the organization (Product, Research, etc.) to improve processes, best practices and tooling.', 'MSc or PhD in Computer Science, Electrical Engineering, Statistics, Applied Mathematics, Physics or related field;', 'Proficient in Machine Learning (training and testing, avoiding overfit, etc.);', 'Knowledge of Big Data technologies such as Spark, Hadoop and related;', 'Proficiency in bash, Python and either Java or Scala;', 'Knowledge of resource monitoring and runtime optimization (both at JVM and OS level);', 'Knowledge of statistics or data visualization is a plus;', 'Knowledge of tree based algorithms (Random Forests, XGBoost, LGBM) is a plus;', 'Knowledge of Deep Learning algorithms is a plus;', 'Ability to communicate your findings in a clear way.']",Be among the first 25 applicants,Full-time,"Computer Software, Financial Services, and Information Technology and Services",Engineering and Information Technology,Entry level
1,10/08/2021 14h,BOLD by Devoteam,"Lisboa, Lisbon, Portugal",Data Scientist,2021-05-14,https://linkedin.com/jobs/view/data-scientist-at-bold-by-devoteam-1131465355,"['Licenciatura / Mestrado em Engenharia Informática ou similares; ', 'Experiência profissional em projectos Big Data (preferencial); ', 'Conhecimentos em Alteryx e Pentaho; ', 'conhecimentos R, Python ou Scala (preferencial); ', 'Bons conhecimentos de Inglês. ', 'Fair & Courageous ', 'Realizamos sessões de Ask Me Anything, um momento onde qualquer colaborador pode questionar, sugerir ou partilhar live algum tema com o CEO. ', 'Temos um programa de referenciamento que reconhece financeiramente os nossos colaboradores por ajudarem a empresa a crescer. ', 'Ambition & Results ', 'Apoiamos o crescimento pessoal e profissional de nossos colaboradores. Por isso, temos um plano de carreira diferenciado, suportado por um modelo transparente, capaz de identificar, desenvolver e agregar valor às competências de cada colaborador. ', 'Criámos o conceito de Strategic Gatherings, um momento onde são partilhadas informações sobre a performance da empresa e se abordam perspetivas de futuro a curto prazo. ', 'Estamos focados num programa de Thought Leadership que pretende promover e desenvolver o talento, a experiência e a paixão pela tecnologia dos nossos colaboradores. ', 'Learning & Innovating ', 'Realizamos encontros informais de partilha de conhecimento entre os nossos colaboradores e a comunidade tecnologia, abrindo as portas da “nossa casa” para meetups. ', 'Investimos na formação contínua dos nossos colaboradores através da disponibilização de workshops e formações técnicas e comportamentais, aulas de línguas, formações e certificações externas financiadas e estabelecendo parcerias com entidades formadoras. ', 'Caring & Sharing ', 'Criámos os Blue Angels, um programa de responsabilidade social e ambiental que coloca a solidariedade dos nossos colaboradores ao serviço da comunidade. ', 'Adoramos bons momentos de convívios e são muitos os que organizamos, desde encontros temáticos mensais a eventos para a família, nunca dizemos que não a uma boa festa. ']",Over 200 applicants,Full-time,Information Technology and Services,Project Management and Information Technology,Mid-Senior level
1,10/08/2021 14h,Capgemini Engineering,"Lisbon, Lisbon, Portugal",Data Scientist (M/F) - Lisbon,2021-08-02,https://linkedin.com/jobs/view/data-scientist-m-f-lisbon-at-capgemini-engineering-2427461854,"['Acesso a uma comunidade de mais de 400 pessoas em AI, sendo 50 em Portugal.', 'Formação, sendo a integração na equipa efetuada com training imediato.', 'Participação em projetos em Portugal e internacionais (a partir de Portugal).', 'Desafios bastantes complexos em ambiente on-prem e Cloud.', 'Integração no World Class Centre da Altran para AI, Tessella, que opera em 7 países e tem mais 400 pessoas em AI sendo 150 PHDs.', 'Formação superior em Engenharia Informática, Matemática ou Química, etc..;', 'Conhecimentos de matemática e estatística;', 'Interesse/conhecimentos em Machine learning e Deep learning;', 'Interesse/conhecimentos de SparkML, Keras, TensorFlow, H20, Knime são um plus;', 'Bom nível de Inglês;']",108 applicants,Full-time,"Information Technology and Services, Computer Software, and Staffing and Recruiting",Engineering and Information Technology,Entry level
1,10/08/2021 14h,Cloudflare,"Lisbon, Lisbon, Portugal",Sr. Data Scientist - Bot Management,2021-07-24,https://linkedin.com/jobs/view/sr-data-scientist-bot-management-at-cloudflare-2584341455,"[' Partner with product managers, data engineers, machine learning engineers and other key stakeholders in understanding the need for data insights and predictive analytics in the area of security and fraud detection in a globally distributed environment. ', ' Understand data landscape i.e tooling, tech stack, source systems etc. and work closely with the data engineers and machine learning engineers to improve the data collection and quality. ', ' Understand business/product strategy and high-level roadmap and align analysis efforts to enable them with data insights and help achieve their strategic goals. ', ' Strong audience focused presentation and storytelling skills focused on key takeaways in a crisp and concise manner. ', ' Define, implement, and train statistical, machine learning, and deep learning models. ', ' Use software engineering best practices to publish model scores/insights/learnings at scale within the company. ', ' Ability to define and spot macro and micro levels trends with statistical significance on a regular basis and understand key drivers driving those trends. ', ' M.S or Ph.D in Computer Science, Statistics, Mathematics, or other quantitative field. ', ' Strong experience in scientific computing using Python or Scala. ', ' Experience with SQL. ', ' Experience working with and processing structured, unstructured, and semi-structured data. ', ' Work closely with data engineering team to ensure robust data pipelines and model deployment. ', ' Proven track record of applying data insights and machine learning in order to address business needs and drive revenue. ', ' 5+ years of data scientist experience with proven industry experience in a large scale environment (PBs scale, globally distributed teams). ', ' Strong communication and presentation skills catered to different audience within the company. ', ' Capable of working closely with business, engineering, and product teams to ensure data initiatives are aligned with business needs. ', ' Strong data analytical skills, taking initiative in deriving data insights and thread intelligence, and proposing models and solutions that can lead to quick and effective proof-of-concept (POC). ', ' Experience in cyber security, fraud detection, internet & networking protocols ', ' Experience in productionizing machine learning models ', ' Familiarity writing and optimizing advanced SQL queries in Clickhouse ', ' Good Linux/UNIX systems knowledge ']",Be among the first 25 applicants,Full-time,"Information Technology and Services, Internet, and Computer & Network Security",Engineering,Associate
1,10/08/2021 14h,Wyser,"Lisbon, Lisbon, Portugal",Senior Data Scientist – Scoring Centre (M/F),2021-08-03,https://linkedin.com/jobs/view/senior-data-scientist-%E2%80%93-scoring-centre-m-f-at-wyser-2673211035,"['As part of your modelling projects, you assess the needs expressed, define and propose the adapted deliverables and estimate their burden and time-frame through an implementation plan that takes into account the challenges and constraints; You use statistical modelling methods, analyse and explain the results;', 'You lead the project, keep track of the schedule and support the implementation and monitoring of the tools issued;', 'As part of the monitoring and optimization of the BNP Paribas Personal Finance score models, you participate in the monitoring campaigns of the scores: generation and analysis of monitoring results, diagnosis and action plan;', ""You are also responsible for conducting or analysing statistical studies related to risk prediction models. If necessary, you take part in analytical support missions to the Group's international entities and in the processing of audit recommendations relating to the Basel regulatory project;"", ""In addition, you actively contribute to the transversal missions of the Scoring Centre: technological and methodological watch, regulatory watch, training, analytical support for the Group's international entities."", 'You have a degree in Mathematics or Statistics.', 'Have you a strong scientific background and at least 4 years of successful experience in a statistical / risk environment (preferably in a banking environment)?', 'Are you proficient in SAS or data lab and you have a strong knowledge of the main data science libraries and have already experienced machine models industrialization?', 'Are you able to work on several projects in parallel and are acknowledged for your accuracy?', 'Do you speak English? ']",Be among the first 25 applicants,Full-time,"Staffing and Recruiting, Banking, and Financial Services",Engineering and Information Technology,Associate
